base_seed,question_id,video_path,variable_correct,forced_k16_correct,correctness_delta,variable_prediction,forced_k16_prediction
440826,139,clip_av_video_16_000.mp4,1,1,0,A,A
440826,140,clip_av_video_16_000.mp4,1,1,0,C,C
440826,141,clip_av_video_16_000.mp4,0,0,0,A,A
440826,142,clip_av_video_16_001.mp4,0,0,0,A,A
440826,143,clip_av_video_16_001.mp4,0,0,0,B,B
440826,144,clip_av_video_16_001.mp4,1,1,0,B,B
440826,145,clip_av_video_16_001.mp4,1,1,0,A,A
440826,146,clip_av_video_16_001.mp4,0,0,0,D,D
440826,147,clip_av_video_16_001.mp4,0,0,0,A,A
440826,148,clip_av_video_16_002.mp4,1,1,0,C,C
440826,149,clip_av_video_16_002.mp4,0,0,0,A,A
440826,150,clip_av_video_16_002.mp4,0,0,0,A,A
440826,151,clip_household_video_19_000.mp4,0,1,-1,A,B
440826,152,clip_household_video_19_000.mp4,1,1,0,C,C
440826,153,clip_household_video_19_000.mp4,0,0,0,A,A
440826,154,clip_household_video_19_001.mp4,1,1,0,B,B
440826,155,clip_household_video_19_001.mp4,1,1,0,B,B
440826,156,clip_household_video_19_003.mp4,1,1,0,C,C
440826,157,clip_household_video_19_003.mp4,1,1,0,A,A
440826,158,clip_household_video_19_003.mp4,0,0,0,C,C
440826,159,clip_household_video_19_004.mp4,1,1,0,B,B
440826,160,clip_household_video_19_004.mp4,0,0,0,D,D
440826,161,clip_av_video_19_000.mp4,1,1,0,B,B
440826,162,clip_av_video_19_000.mp4,1,0,1,D,A
440826,163,clip_av_video_19_001.mp4,1,0,1,D,C
440826,164,clip_av_video_19_001.mp4,1,1,0,A,A
440826,165,clip_av_video_2_000.mp4,1,1,0,C,C
440826,166,clip_av_video_2_000.mp4,1,1,0,C,C
440826,167,clip_av_video_2_000.mp4,0,0,0,D,D
440826,168,clip_av_video_2_000.mp4,0,0,0,A,A
440826,169,clip_av_video_2_000.mp4,0,0,0,D,D
440826,170,clip_av_video_2_001.mp4,0,0,0,A,A
440826,171,clip_av_video_2_001.mp4,0,0,0,D,D
440826,172,clip_av_video_2_002.mp4,0,0,0,B,B
440826,173,clip_av_video_2_002.mp4,0,0,0,A,A
440826,174,clip_av_video_2_002.mp4,0,0,0,B,B
440826,175,clip_av_video_2_002.mp4,0,0,0,B,B
440826,176,clip_av_video_2_002.mp4,0,0,0,D,D
440826,177,clip_household_video_11_000.mp4,0,1,-1,D,C
440826,178,clip_household_video_11_002.mp4,1,1,0,D,D
440826,179,clip_av_video_8_000.mp4,0,1,-1,A,C
440826,180,clip_av_video_8_001.mp4,0,1,-1,A,B
440826,181,clip_av_video_14_000.mp4,1,1,0,C,C
440826,182,clip_av_video_14_001.mp4,0,0,0,A,A
440826,183,clip_av_video_24_000.mp4,1,1,0,A,A
440826,184,clip_av_video_24_001.mp4,1,1,0,B,B
440826,185,clip_av_video_24_002.mp4,0,0,0,A,A
440826,186,clip_av_video_24_002.mp4,1,1,0,D,D
440826,187,clip_av_video_24_002.mp4,1,1,0,C,C
440826,188,clip_av_video_24_004.mp4,1,1,0,C,C
440826,189,clip_av_video_24_005.mp4,1,1,0,B,B
440826,190,clip_av_video_24_006.mp4,0,0,0,B,B
440826,191,clip_household_video_4_000.mp4,1,0,1,A,B
440826,192,clip_household_video_4_000.mp4,1,0,1,D,A
440826,193,clip_av_video_12_000.mp4,0,0,0,B,B
440826,194,clip_av_video_12_001.mp4,1,1,0,D,D
440826,195,clip_av_video_12_001.mp4,0,0,0,A,A
440826,196,clip_av_video_12_001.mp4,0,1,-1,D,A
440826,197,clip_household_video_9_000.mp4,1,1,0,B,B
440826,198,clip_av_video_9_000.mp4,1,1,0,A,A
440826,199,clip_av_video_9_000.mp4,1,1,0,C,C
440826,200,clip_av_video_9_001.mp4,0,0,0,D,B
440826,201,clip_av_video_9_001.mp4,1,1,0,D,D
440826,202,clip_av_video_9_001.mp4,1,1,0,D,D
440826,203,clip_av_video_9_002.mp4,0,1,-1,A,C
440826,204,clip_av_video_9_002.mp4,1,1,0,B,B
440826,205,clip_av_video_9_002.mp4,0,0,0,C,D
440826,206,clip_av_video_21_001.mp4,1,1,0,A,A
440826,207,clip_av_video_4_000.mp4,1,1,0,C,C
440826,208,clip_av_video_7_000.mp4,1,1,0,B,B
440826,209,clip_av_video_7_001.mp4,0,0,0,D,B
440826,210,clip_av_video_13_000.mp4,0,0,0,D,D
440826,211,clip_av_video_13_000.mp4,0,0,0,C,D
440826,212,clip_av_video_13_000.mp4,1,1,0,B,B
440826,213,clip_av_video_13_001.mp4,0,0,0,A,A
440826,214,clip_av_video_13_001.mp4,0,0,0,A,A
440826,215,clip_av_video_13_002.mp4,1,1,0,A,A
440826,216,clip_av_video_13_002.mp4,0,0,0,A,B
440826,217,clip_av_video_13_002.mp4,1,1,0,D,D
440826,218,clip_av_video_13_002.mp4,1,1,0,B,B
440826,219,clip_av_video_13_002.mp4,1,1,0,A,A
440826,220,clip_av_video_13_002.mp4,1,1,0,D,D
440826,221,clip_av_video_13_002.mp4,1,1,0,D,D
440826,222,clip_av_video_13_003.mp4,1,1,0,C,C
440826,223,clip_av_video_13_003.mp4,0,0,0,C,D
440826,224,clip_av_video_13_003.mp4,0,0,0,C,C
440826,225,clip_av_video_13_003.mp4,1,1,0,A,A
440826,226,clip_av_video_13_003.mp4,0,0,0,B,B
440826,227,clip_av_video_13_004.mp4,1,1,0,C,C
440826,228,clip_av_video_20_000.mp4,0,0,0,D,D
440826,229,clip_av_video_11_000.mp4,1,1,0,B,B
440826,230,clip_av_video_13_004.mp4,1,1,0,D,D
440826,231,clip_av_video_14_000.mp4,1,0,1,B,C
440826,232,clip_av_video_1_000.mp4,0,0,0,D,D
440826,233,clip_av_video_20_000.mp4,1,1,0,B,B
440826,234,clip_av_video_21_000.mp4,0,0,0,B,B
440826,235,clip_av_video_21_001.mp4,1,1,0,C,C
440826,236,clip_av_video_24_000.mp4,0,0,0,A,A
440826,237,clip_av_video_24_001.mp4,1,1,0,D,D
440826,238,clip_av_video_24_004.mp4,0,0,0,C,C
440826,239,clip_av_video_24_005.mp4,0,0,0,D,D
440826,240,clip_av_video_4_000.mp4,1,1,0,C,C
440826,241,clip_av_video_6_001.mp4,0,0,0,B,B
440826,242,clip_av_video_7_000.mp4,1,1,0,B,B
440826,243,clip_av_video_7_001.mp4,1,0,1,B,A
440826,244,clip_av_video_9_001.mp4,1,0,1,D,A
440826,245,clip_household_video_11_000.mp4,0,0,0,A,A
440826,246,clip_household_video_17_000.mp4,0,0,0,A,A
440826,247,clip_household_video_17_000.mp4,0,0,0,C,B
440826,248,clip_household_video_17_000.mp4,1,1,0,C,C
440826,249,clip_household_video_17_001.mp4,0,0,0,C,C
440826,250,clip_household_video_17_001.mp4,1,0,1,B,D
440826,251,clip_household_video_19_000.mp4,1,1,0,A,A
440826,252,clip_household_video_19_001.mp4,1,1,0,B,B
440826,253,clip_household_video_19_002.mp4,1,1,0,C,C
440826,254,clip_household_video_19_002.mp4,1,0,1,A,B
440826,255,clip_household_video_19_003.mp4,0,0,0,B,B
440826,256,clip_household_video_19_004.mp4,0,0,0,C,C
440826,257,clip_household_video_19_005.mp4,0,0,0,C,C
440826,258,clip_household_video_19_005.mp4,0,0,0,B,B
440826,259,clip_household_video_19_005.mp4,0,0,0,C,C
440826,260,clip_household_video_19_006.mp4,1,1,0,C,C
440826,261,clip_household_video_19_006.mp4,1,1,0,D,D
440826,262,clip_household_video_19_006.mp4,1,1,0,A,A
440826,263,clip_household_video_4_000.mp4,1,1,0,A,A
440826,264,clip_household_video_4_000.mp4,0,0,0,B,B
440826,265,clip_household_video_9_000.mp4,0,0,0,C,C
440826,266,clip_household_video_9_000.mp4,0,0,0,C,C
440826,267,clip_household_video_9_000.mp4,1,1,0,B,B
440827,0,clip_av_video_3_000.mp4,1,1,0,B,B
440827,1,clip_av_video_3_000.mp4,0,0,0,B,B
440827,2,clip_av_video_3_000.mp4,0,0,0,C,C
440827,3,clip_av_video_3_000.mp4,0,0,0,A,A
440827,4,clip_av_video_3_000.mp4,0,0,0,A,A
440827,5,clip_av_video_3_001.mp4,0,1,-1,A,B
440827,6,clip_av_video_3_001.mp4,0,1,-1,D,B
440827,7,clip_av_video_3_001.mp4,0,0,0,D,C
440827,8,clip_household_video_0_000.mp4,1,1,0,C,C
440827,9,clip_household_video_0_000.mp4,0,0,0,B,B
440827,10,clip_household_video_0_000.mp4,1,1,0,C,C
440827,11,clip_household_video_0_000.mp4,0,1,-1,D,A
440827,12,clip_household_video_0_001.mp4,1,1,0,A,A
440827,13,clip_household_video_0_001.mp4,1,1,0,A,A
440827,14,clip_household_video_0_001.mp4,1,1,0,B,B
440827,15,clip_household_video_0_001.mp4,0,0,0,B,B
440827,16,clip_household_video_0_001.mp4,0,0,0,A,A
440827,17,clip_household_video_0_001.mp4,0,0,0,D,B
440827,18,clip_household_video_0_001.mp4,1,1,0,A,A
440827,19,clip_household_video_0_001.mp4,1,1,0,B,B
440827,20,clip_household_video_14_000.mp4,1,1,0,A,A
440827,21,clip_household_video_14_000.mp4,1,1,0,C,C
440827,22,clip_household_video_14_000.mp4,1,1,0,C,C
440827,23,clip_household_video_14_000.mp4,1,1,0,B,B
440827,24,clip_household_video_14_000.mp4,1,1,0,A,A
440827,25,clip_household_video_14_000.mp4,0,0,0,C,C
440827,26,clip_household_video_14_000.mp4,1,1,0,C,C
440827,27,clip_household_video_14_000.mp4,1,1,0,B,B
440827,28,clip_household_video_14_000.mp4,1,1,0,C,C
440827,29,clip_household_video_14_000.mp4,1,1,0,D,D
440827,30,clip_household_video_14_000.mp4,0,0,0,A,A
440827,31,clip_household_video_14_000.mp4,1,1,0,D,D
440827,32,clip_household_video_14_000.mp4,1,1,0,D,D
440827,33,clip_household_video_14_000.mp4,0,0,0,C,C
440827,34,clip_household_video_14_000.mp4,0,0,0,B,B
440827,35,clip_household_video_14_000.mp4,1,1,0,C,C
440827,36,clip_household_video_14_000.mp4,1,1,0,A,A
440827,37,clip_household_video_14_000.mp4,0,0,0,B,B
440827,38,clip_household_video_14_000.mp4,1,1,0,C,C
440827,39,clip_household_video_14_000.mp4,0,0,0,D,D
440827,40,clip_household_video_14_000.mp4,0,0,0,D,D
440827,41,clip_household_video_14_000.mp4,1,1,0,B,B
440827,42,clip_household_video_14_000.mp4,0,0,0,D,D
440827,43,clip_household_video_14_000.mp4,0,0,0,C,C
440827,44,clip_household_video_14_000.mp4,1,1,0,D,D
440827,45,clip_household_video_14_000.mp4,1,1,0,C,C
440827,46,clip_household_video_14_000.mp4,1,1,0,C,C
440827,47,clip_household_video_14_000.mp4,1,1,0,D,D
440827,48,clip_household_video_14_000.mp4,0,0,0,D,B
440827,49,clip_household_video_14_000.mp4,1,1,0,B,B
440827,50,clip_household_video_14_001.mp4,0,0,0,C,D
440827,51,clip_household_video_14_001.mp4,0,0,0,D,D
440827,52,clip_household_video_14_001.mp4,1,1,0,D,D
440827,53,clip_household_video_14_001.mp4,0,0,0,D,D
440827,54,clip_household_video_14_001.mp4,1,1,0,D,D
440827,55,clip_household_video_14_001.mp4,1,1,0,D,D
440827,56,clip_household_video_14_001.mp4,0,0,0,D,D
440827,57,clip_household_video_14_001.mp4,0,0,0,A,A
440827,58,clip_household_video_14_001.mp4,0,0,0,A,A
440827,59,clip_household_video_14_001.mp4,0,0,0,B,B
440827,60,clip_household_video_14_001.mp4,0,0,0,C,C
440827,61,clip_household_video_14_001.mp4,0,0,0,A,D
440827,62,clip_household_video_14_001.mp4,0,0,0,D,D
440827,63,clip_household_video_14_002.mp4,0,1,-1,D,B
440827,64,clip_household_video_14_002.mp4,0,1,-1,D,C
440827,65,clip_household_video_14_002.mp4,1,1,0,C,C
440827,66,clip_household_video_14_002.mp4,1,0,1,A,D
440827,67,clip_household_video_14_002.mp4,0,0,0,D,A
440827,68,clip_household_video_14_002.mp4,1,1,0,B,B
440827,69,clip_household_video_14_002.mp4,1,1,0,D,D
440827,70,clip_household_video_14_002.mp4,0,1,-1,B,A
440827,71,clip_household_video_14_002.mp4,0,0,0,B,A
440827,72,clip_household_video_14_002.mp4,0,0,0,A,A
440827,73,clip_household_video_14_002.mp4,1,1,0,B,B
440827,74,clip_household_video_14_002.mp4,0,0,0,B,B
440827,75,clip_household_video_14_002.mp4,1,1,0,A,A
440827,76,clip_household_video_14_002.mp4,0,1,-1,B,C
440827,77,clip_household_video_14_003.mp4,1,0,1,B,C
440827,78,clip_household_video_14_003.mp4,0,0,0,A,A
440827,79,clip_av_video_0_000.mp4,1,1,0,B,B
440827,80,clip_av_video_0_000.mp4,0,0,0,C,B
440827,81,clip_av_video_0_000.mp4,0,1,-1,C,D
440827,82,clip_av_video_0_000.mp4,0,1,-1,D,C
440827,83,clip_av_video_0_000.mp4,0,0,0,D,D
440827,84,clip_av_video_0_001.mp4,0,0,0,D,D
440827,85,clip_av_video_0_001.mp4,1,1,0,D,D
440827,86,clip_av_video_0_001.mp4,0,0,0,D,A
440827,87,clip_av_video_0_002.mp4,1,1,0,A,A
440827,88,clip_av_video_0_003.mp4,0,0,0,B,B
440827,89,clip_av_video_0_003.mp4,0,0,0,A,A
440827,90,clip_av_video_5_000.mp4,0,0,0,B,B
440827,91,clip_av_video_5_001.mp4,1,1,0,B,B
440827,92,clip_av_video_5_001.mp4,1,1,0,B,B
440827,93,clip_av_video_5_002.mp4,0,0,0,B,B
440827,94,clip_av_video_5_002.mp4,1,1,0,B,B
440827,95,clip_av_video_5_002.mp4,0,0,0,D,D
440827,96,clip_av_video_5_002.mp4,0,0,0,B,A
440827,97,clip_av_video_5_002.mp4,0,0,0,D,D
440827,98,clip_av_video_5_003.mp4,1,1,0,C,C
440827,99,clip_av_video_25_000.mp4,1,1,0,C,C
440827,100,clip_av_video_25_000.mp4,0,0,0,D,D
440827,101,clip_av_video_25_000.mp4,1,1,0,D,D
440827,102,clip_av_video_25_000.mp4,1,1,0,C,C
440827,103,clip_av_video_25_000.mp4,1,1,0,D,D
440827,104,clip_av_video_25_000.mp4,0,0,0,C,C
440827,105,clip_av_video_25_001.mp4,0,1,-1,C,D
440827,106,clip_av_video_25_001.mp4,0,0,0,B,B
440827,107,clip_av_video_23_000.mp4,0,1,-1,A,C
440827,108,clip_av_video_23_001.mp4,0,0,0,A,A
440827,109,clip_av_video_23_001.mp4,0,0,0,C,C
440827,110,clip_av_video_23_001.mp4,0,0,0,B,B
440827,111,clip_av_video_23_001.mp4,0,0,0,C,C
440827,112,clip_av_video_23_002.mp4,1,1,0,C,C
440827,113,clip_household_video_16_000.mp4,0,0,0,A,A
440827,114,clip_household_video_16_001.mp4,0,0,0,B,B
440827,115,clip_household_video_16_001.mp4,0,0,0,B,B
440827,116,clip_household_video_16_001.mp4,0,0,0,A,A
440827,117,clip_household_video_17_000.mp4,0,0,0,B,B
440827,118,clip_household_video_17_000.mp4,0,0,0,A,A
440827,119,clip_household_video_17_000.mp4,1,1,0,D,D
440827,120,clip_household_video_17_000.mp4,1,1,0,B,B
440827,121,clip_household_video_17_000.mp4,1,0,1,A,C
440827,122,clip_household_video_17_000.mp4,1,1,0,D,D
440827,123,clip_household_video_17_000.mp4,1,0,1,D,B
440827,124,clip_household_video_17_000.mp4,1,1,0,C,C
440827,125,clip_household_video_17_000.mp4,0,0,0,A,B
440827,126,clip_av_video_10_000.mp4,1,1,0,C,C
440827,127,clip_av_video_10_000.mp4,1,1,0,D,D
440827,128,clip_av_video_10_000.mp4,1,1,0,B,B
440827,129,clip_av_video_10_001.mp4,1,1,0,C,C
440827,130,clip_av_video_10_001.mp4,0,0,0,A,A
440827,131,clip_av_video_1_001.mp4,1,1,0,D,D
440827,132,clip_av_video_6_000.mp4,0,0,0,D,D
440827,133,clip_av_video_6_000.mp4,0,0,0,B,B
440827,134,clip_av_video_6_000.mp4,1,1,0,D,D
440827,135,clip_av_video_6_001.mp4,0,0,0,D,D
440827,136,clip_av_video_16_000.mp4,0,1,-1,D,A
440827,137,clip_av_video_16_000.mp4,0,0,0,D,D
440827,138,clip_av_video_16_000.mp4,0,0,0,C,C
440827,139,clip_av_video_16_000.mp4,1,1,0,A,A
440827,140,clip_av_video_16_000.mp4,0,1,-1,D,C
440827,141,clip_av_video_16_000.mp4,0,0,0,A,A
440827,142,clip_av_video_16_001.mp4,0,0,0,A,A
440827,143,clip_av_video_16_001.mp4,0,0,0,B,B
440827,144,clip_av_video_16_001.mp4,1,1,0,B,B
440827,145,clip_av_video_16_001.mp4,1,0,1,A,B
440827,146,clip_av_video_16_001.mp4,0,0,0,D,D
440827,147,clip_av_video_16_001.mp4,0,0,0,A,A
440827,148,clip_av_video_16_002.mp4,1,1,0,C,C
440827,149,clip_av_video_16_002.mp4,0,0,0,A,A
440827,150,clip_av_video_16_002.mp4,0,0,0,B,A
440827,151,clip_household_video_19_000.mp4,0,0,0,A,A
440827,152,clip_household_video_19_000.mp4,1,1,0,C,C
440827,153,clip_household_video_19_000.mp4,0,0,0,A,A
440827,154,clip_household_video_19_001.mp4,0,1,-1,C,B
440827,155,clip_household_video_19_001.mp4,1,1,0,B,B
440827,156,clip_household_video_19_003.mp4,1,1,0,C,C
440827,157,clip_household_video_19_003.mp4,1,1,0,A,A
440827,158,clip_household_video_19_003.mp4,1,0,1,B,C
440827,159,clip_household_video_19_004.mp4,1,1,0,B,B
440827,160,clip_household_video_19_004.mp4,0,1,-1,A,B
440827,161,clip_av_video_19_000.mp4,1,1,0,B,B
440827,162,clip_av_video_19_000.mp4,1,1,0,D,D
440827,163,clip_av_video_19_001.mp4,0,0,0,C,C
440827,164,clip_av_video_19_001.mp4,1,1,0,A,A
440827,165,clip_av_video_2_000.mp4,1,1,0,C,C
440827,166,clip_av_video_2_000.mp4,1,1,0,C,C
440827,167,clip_av_video_2_000.mp4,0,0,0,D,D
440827,168,clip_av_video_2_000.mp4,0,0,0,A,A
440827,169,clip_av_video_2_000.mp4,0,0,0,D,D
440827,170,clip_av_video_2_001.mp4,0,0,0,A,A
440827,171,clip_av_video_2_001.mp4,0,0,0,D,D
440827,172,clip_av_video_2_002.mp4,0,0,0,B,B
440827,173,clip_av_video_2_002.mp4,0,0,0,A,A
440827,174,clip_av_video_2_002.mp4,1,0,1,C,B
440827,175,clip_av_video_2_002.mp4,0,0,0,B,B
440827,176,clip_av_video_2_002.mp4,0,0,0,D,D
440827,177,clip_household_video_11_000.mp4,0,1,-1,D,C
440827,178,clip_household_video_11_002.mp4,1,1,0,D,D
440827,179,clip_av_video_8_000.mp4,0,1,-1,A,C
440827,180,clip_av_video_8_001.mp4,0,1,-1,C,B
440827,181,clip_av_video_14_000.mp4,1,1,0,C,C
440827,182,clip_av_video_14_001.mp4,0,0,0,A,A
440827,183,clip_av_video_24_000.mp4,1,1,0,A,A
440827,184,clip_av_video_24_001.mp4,1,1,0,B,B
440827,185,clip_av_video_24_002.mp4,0,0,0,A,D
440827,186,clip_av_video_24_002.mp4,1,1,0,D,D
440827,187,clip_av_video_24_002.mp4,1,1,0,C,C
440827,188,clip_av_video_24_004.mp4,1,1,0,C,C
440827,189,clip_av_video_24_005.mp4,1,1,0,B,B
440827,190,clip_av_video_24_006.mp4,0,0,0,B,B
440827,191,clip_household_video_4_000.mp4,1,0,1,A,B
440827,192,clip_household_video_4_000.mp4,1,1,0,D,D
440827,193,clip_av_video_12_000.mp4,0,0,0,B,B
